time,user,delta_usd
2023-02-26T16:44:05Z,0x677d831aef5328190852e24f13c46cac05f984e7,4
2023-02-26T16:59:45Z,0x677d831aef5328190852e24f13c46cac05f984e7,2
2023-02-26T17:00:15Z,0x677d831aef5328190852e24f13c46cac05f984e7,-1.1
2023-02-26T21:03:27Z,0xfc13878222c06e7cc043841027c893a4c9f180c9,2000
2023-02-27T15:01:48Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,30
2023-02-27T15:04:32Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,-29.85084
2023-02-27T15:12:26Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,30
2023-02-27T15:13:01Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,-30
2023-02-27T15:30:40Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,30
2023-02-27T16:09:03Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,-27.301722
2023-02-27T16:11:22Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,34.660761
2023-02-27T22:06:24Z,0x17d8e3268b7c81111c98b7d3ccea55072a32d6c0,100
2023-02-28T04:33:03Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,-20
2023-02-28T15:49:33Z,0x677d831aef5328190852e24f13c46cac05f984e7,10
2023-02-28T23:34:37Z,0x0811d5442a311bc591fe663534d548bf1c09d7de,100
2023-03-01T02:03:48Z,0x17d8e3268b7c81111c98b7d3ccea55072a32d6c0,100
2023-03-01T15:31:38Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,30
2023-03-01T20:18:01Z,0x431f554877369c81ef35ab6ad39c004f21ec6b7e,30.569113
2023-03-01T20:29:34Z,0xe3a285a05076df90c3578a73b34c4880180e6668,9.126033
2023-03-01T23:21:56Z,0x677d831aef5328190852e24f13c46cac05f984e7,10
2023-03-02T01:42:03Z,0x17d8e3268b7c81111c98b7d3ccea55072a32d6c0,30
2023-03-02T02:57:01Z,0x0811d5442a311bc591fe663534d548bf1c09d7de,100
2023-03-02T05:34:00Z,0x2d5b239c049e84ffa914bef95a2f769bd7841a33,15
2023-03-02T13:37:23Z,0xc12899141fde243c1f6a1e77f285aafdcb50afc8,15
2023-03-02T15:11:55Z,0x7cb2ad2ec5c182c2e0868985b0ea733d1deaf0d1,30
2023-03-03T01:48:38Z,0xf853dcf3d65c94e61a6b554d5595bb4f50994601,30
2023-03-03T05:36:53Z,0x1497603fea33e12307ea0a1988cdff9efc4bdea4,75
2023-03-03T06:32:50Z,0x1497603fea33e12307ea0a1988cdff9efc4bdea4,-15
2023-03-03T06:33:02Z,0x1497603fea33e12307ea0a1988cdff9efc4bdea4,15
2023-03-04T00:02:37Z,0x0811d5442a311bc591fe663534d548bf1c09d7de,-100
2023-03-04T02:37:04Z,0x677d831aef5328190852e24f13c46cac05f984e7,10
2023-03-07T15:16:56Z,0x63fb72ff2ed658d053399b6e15d044cd8ff2838d,10
2023-03-07T18:09:05Z,0x63fb72ff2ed658d053399b6e15d044cd8ff2838d,-9.929241
2023-03-08T13:48:29Z,0x6482a07ec9b8ed76cf7989d19d39d508cfb5e875,15
2023-03-09T06:39:19Z,0x7bb79ce20e464062ae265a0a9d03f3e6a9200501,0.01
2023-03-09T06:46:23Z,0x7bb79ce20e464062ae265a0a9d03f3e6a9200501,1
2023-03-09T06:54:31Z,0x7bb79ce20e464062ae265a0a9d03f3e6a9200501,9
2023-03-09T06:56:16Z,0x7bb79ce20e464062ae265a0a9d03f3e6a9200501,0.5
2023-03-09T07:00:47Z,0x7bb79ce20e464062ae265a0a9d03f3e6a9200501,-10.49816
2023-03-09T21:27:14Z,0x4acd63bdce72e7f269f5b29a6e03ee2d222a9fc6,300
2023-03-11T00:58:29Z,0xb8d4df452dfa59dc4b0323a345f461d72b663b21,300
2023-03-11T02:34:21Z,0x17d8e3268b7c81111c98b7d3ccea55072a32d6c0,100
2023-03-11T13:02:10Z,0x17d8e3268b7c81111c98b7d3ccea55072a32d6c0,100
2023-03-11T14:53:04Z,0x0811d5442a311bc591fe663534d548bf1c09d7de,-243.726547
2023-03-12T01:08:37Z,0x0811d5442a311bc591fe663534d548bf1c09d7de,200
2023-03-12T01:22:24Z,0xb8d4df452dfa59dc4b0323a345f461d72b663b21,104.360639
2023-03-12T14:13:06Z,0x6482a07ec9b8ed76cf7989d19d39d508cfb5e875,9.112918
2023-03-12T20:22:20Z,0x677d831aef5328190852e24f13c46cac05f984e7,11
2023-03-13T00:54:37Z,0x17d8e3268b7c81111c98b7d3ccea55072a32d6c0,100
2023-03-14T12:15:34Z,0x0811d5442a311bc591fe663534d548bf1c09d7de,300
2023-03-14T13:27:44Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,104.785968
2023-03-15T15:39:11Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,-108
2023-03-22T22:37:29Z,0x1497603fea33e12307ea0a1988cdff9efc4bdea4,300
2023-03-23T06:04:38Z,0x10d0739e251f5c212312d023c9fcfe0fdcafca23,1000
2023-03-23T06:26:47Z,0x1497603fea33e12307ea0a1988cdff9efc4bdea4,220.820975
2023-03-23T09:17:40Z,0xffcdcf517f40ec98e6035f86a30fd8ad3abf67dc,30
2023-03-23T17:10:27Z,0x677d831aef5328190852e24f13c46cac05f984e7,10
2023-03-23T17:35:54Z,0x677d831aef5328190852e24f13c46cac05f984e7,-10
2023-03-23T18:14:43Z,0x2d5b239c049e84ffa914bef95a2f769bd7841a33,29.0463
2023-03-23T18:46:21Z,0x0811d5442a311bc591fe663534d548bf1c09d7de,200
2023-03-24T03:41:57Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,170
2023-03-24T11:09:34Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,-141.500414
2023-03-24T11:15:47Z,0x42061acc5da4af3b779aa7a275e72ad163308490,146.099073
2023-03-24T15:42:23Z,0x069cb0aeab4abd5eab8e7bed1a128db31f64b116,300
2023-03-24T17:37:50Z,0x4acd63bdce72e7f269f5b29a6e03ee2d222a9fc6,800
2023-03-26T13:28:15Z,0x677d831aef5328190852e24f13c46cac05f984e7,4
2023-03-26T15:39:26Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-121.013028
2023-03-27T03:12:04Z,0x677d831aef5328190852e24f13c46cac05f984e7,-4
2023-03-27T14:36:27Z,0x677d831aef5328190852e24f13c46cac05f984e7,4
2023-03-27T16:13:32Z,0x677d831aef5328190852e24f13c46cac05f984e7,-2
2023-03-27T16:17:12Z,0x677d831aef5328190852e24f13c46cac05f984e7,2
2023-03-27T16:17:37Z,0x677d831aef5328190852e24f13c46cac05f984e7,-3
2023-03-27T16:56:19Z,0x677d831aef5328190852e24f13c46cac05f984e7,-3
2023-03-27T21:12:52Z,0x2b7a02702cf210b75ac17258d4d80addda7b9a44,505.747152
2023-03-28T04:22:47Z,0xa172be302b24df2c0c095d03f6c8459e6b83d894,300
2023-03-29T03:12:23Z,0x42061acc5da4af3b779aa7a275e72ad163308490,126.219384
2023-03-29T14:11:24Z,0x0811d5442a311bc591fe663534d548bf1c09d7de,100
2023-03-30T04:42:17Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-26
2023-03-30T09:23:20Z,0x42061acc5da4af3b779aa7a275e72ad163308490,136.680695
2023-03-30T09:44:12Z,0xffcdcf517f40ec98e6035f86a30fd8ad3abf67dc,20
2023-03-30T14:12:19Z,0x42061acc5da4af3b779aa7a275e72ad163308490,62.956649
2023-03-31T08:33:01Z,0x42061acc5da4af3b779aa7a275e72ad163308490,63.980157
2023-03-31T16:12:43Z,0xad3a87a43489c44f0a8a33113b2745338ae71a9d,0.05
2023-03-31T23:55:12Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-320
2023-04-01T00:03:41Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-30
2023-04-02T04:20:45Z,0x42061acc5da4af3b779aa7a275e72ad163308490,35.521153
2023-04-04T15:06:50Z,0x0c895c4904514b8ccca77cfbe22daaef235e4070,15
2023-04-05T02:10:29Z,0x3147ba7cd9bd654fa0d24e579959111aef1f25a8,47.13186
2023-04-05T02:28:23Z,0x677d831aef5328190852e24f13c46cac05f984e7,10
2023-04-05T02:30:47Z,0x677d831aef5328190852e24f13c46cac05f984e7,990
2023-04-05T02:59:19Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,-175.24433
2023-04-05T03:01:58Z,0x42061acc5da4af3b779aa7a275e72ad163308490,175.24433
2023-04-05T03:54:47Z,0x1497603fea33e12307ea0a1988cdff9efc4bdea4,500
2023-04-05T13:37:46Z,0x6c81d7c8fcd29cb8eaa5f2ba40baabc4e147d3e9,6.363087
2023-04-05T15:11:48Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-200
2023-04-05T17:41:55Z,0x4e342f8988fd2668059b3fdf4729f01c1a2d6972,180
2023-04-06T00:07:57Z,0x4f17562c9a6ccfe47c3ef4245eb53c047cb2ff1d,23.665693
2023-04-06T04:20:50Z,0x10d0739e251f5c212312d023c9fcfe0fdcafca23,-1000
2023-04-06T12:36:38Z,0x1497603fea33e12307ea0a1988cdff9efc4bdea4,-900
2023-04-07T02:29:34Z,0x6085b7d1b24f2819451313ab862419a5387741d4,500
2023-04-07T22:46:13Z,0x15ebe589457229c039ddfd0370dc7d84497bc722,1000
2023-04-08T00:47:10Z,0x27c295f01ff5d5d3fdeb1af9115eb5208404c099,372.049155
2023-04-08T01:43:13Z,0x27c295f01ff5d5d3fdeb1af9115eb5208404c099,463.953599
2023-04-08T03:00:27Z,0x15ebe589457229c039ddfd0370dc7d84497bc722,1000
2023-04-08T08:13:33Z,0xc48520bdf117d951e495225b77eb38734be96d94,50
2023-04-08T10:06:30Z,0xc48520bdf117d951e495225b77eb38734be96d94,-50.0174
2023-04-08T14:31:01Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-50
2023-04-08T16:45:47Z,0x4429d984162e1c4c4cd1fad6885a78f870c4b892,100
2023-04-10T16:39:46Z,0x4f17562c9a6ccfe47c3ef4245eb53c047cb2ff1d,464.302615
2023-04-10T19:22:07Z,0x48b576c87e788a762d6f95a456f2a39113b46950,105.058488
2023-04-10T21:13:52Z,0x9c3eae1a765d1bebbca223414d24201340468265,20.249338
2023-04-11T02:16:16Z,0x4f17562c9a6ccfe47c3ef4245eb53c047cb2ff1d,1000
2023-04-11T12:10:36Z,0x9c3eae1a765d1bebbca223414d24201340468265,50.211852
2023-04-12T02:52:20Z,0x42061acc5da4af3b779aa7a275e72ad163308490,192.352386
2023-04-12T06:45:04Z,0x9c3eae1a765d1bebbca223414d24201340468265,46.496543
2023-04-12T09:32:36Z,0xc9c00bd2d63738edf87ed8ed8e5951550f84f3eb,29.089361
2023-04-12T14:49:58Z,0x4f17562c9a6ccfe47c3ef4245eb53c047cb2ff1d,501.231932
2023-04-12T15:15:35Z,0x4f17562c9a6ccfe47c3ef4245eb53c047cb2ff1d,500.163965
2023-04-12T15:41:58Z,0xa3891fed3e714259e227d77f7a23b7247491fb77,44
2023-04-12T15:42:23Z,0xe291f60b49aace4020d5919c4c98c6cf08fd76c0,44
2023-04-12T15:42:33Z,0x8bc964e36e3fcf9068d98e55a64a99d22c898afa,44
2023-04-12T15:42:40Z,0xf1ac29b67d0695546123185776afffb3be7dc4d1,44
2023-04-12T15:42:55Z,0xb4fa18fbbab81ad88d551cb991573e9f36ac9f54,44
2023-04-12T15:43:07Z,0x86219301a71c65a8f2c3e0ffce65bcdad7a01003,44
2023-04-12T15:43:16Z,0x6aabd336c0e52f0c20d9db89e0824fc3a3233480,44
2023-04-12T15:48:00Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-200
2023-04-12T16:00:13Z,0x86219301a71c65a8f2c3e0ffce65bcdad7a01003,66
2023-04-12T16:03:43Z,0x86219301a71c65a8f2c3e0ffce65bcdad7a01003,200
2023-04-12T18:22:07Z,0x91635821189683cbe95d6a513e49bc55d3654797,100
2023-04-12T18:29:38Z,0xf1ac29b67d0695546123185776afffb3be7dc4d1,-44
2023-04-12T18:31:17Z,0xf1ac29b67d0695546123185776afffb3be7dc4d1,44
2023-04-12T19:35:50Z,0xde2f8a2f6c4077591ba6f4dbeb3a254942032e26,10
2023-04-12T21:45:07Z,0xde2f8a2f6c4077591ba6f4dbeb3a254942032e26,100
2023-04-12T21:50:11Z,0xb4fa18fbbab81ad88d551cb991573e9f36ac9f54,-44
2023-04-12T22:44:29Z,0x9ff51f28e5c2819c8a48069c467df0e512abb5ca,500
2023-04-13T01:50:01Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,-53.457876
2023-04-13T01:53:16Z,0x42061acc5da4af3b779aa7a275e72ad163308490,43.457876
2023-04-13T07:21:57Z,0x3d0d01f48951d12bad8ff5bcf37fd0c6ce3ea566,134.219046
2023-04-13T11:58:18Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-200
2023-04-13T12:31:46Z,0xe291f60b49aace4020d5919c4c98c6cf08fd76c0,-44
2023-04-13T12:35:47Z,0xde2f8a2f6c4077591ba6f4dbeb3a254942032e26,393.121246
2023-04-13T14:47:24Z,0xbaa32387bd55553ec806622d524b12bbb8242a19,259.801141
2023-04-13T19:19:58Z,0xa3891fed3e714259e227d77f7a23b7247491fb77,-43.9177
2023-04-14T00:34:21Z,0x0709b103d46d71458a71e5d81230dd688809a53d,21.189642
2023-04-14T01:50:15Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-50
2023-04-14T02:35:00Z,0x0709b103d46d71458a71e5d81230dd688809a53d,2978.810358
2023-04-14T03:39:11Z,0x42061acc5da4af3b779aa7a275e72ad163308490,34.751017
2023-04-14T04:27:50Z,0x51ec66e63199176f59c80268e0be6ffa91fab220,3000
2023-04-14T12:05:19Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-20
2023-04-14T12:54:48Z,0x354395cb7dcbd1327ee4b880ae52673908726701,120
2023-04-14T16:18:41Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-53.811957
2023-04-14T16:58:26Z,0x86219301a71c65a8f2c3e0ffce65bcdad7a01003,309.030987
2023-04-14T18:41:39Z,0x86219301a71c65a8f2c3e0ffce65bcdad7a01003,207.916267
2023-04-15T01:08:02Z,0x42061acc5da4af3b779aa7a275e72ad163308490,232.025596
2023-04-15T01:57:17Z,0x86219301a71c65a8f2c3e0ffce65bcdad7a01003,1501.033211
2023-04-15T07:06:10Z,0x9c3eae1a765d1bebbca223414d24201340468265,521.957034
2023-04-15T08:40:51Z,0xc9c00bd2d63738edf87ed8ed8e5951550f84f3eb,20
2023-04-15T08:59:57Z,0x907b001c9c706735b26fde689ef492961966760b,94.339271
2023-04-16T04:54:17Z,0x1497603fea33e12307ea0a1988cdff9efc4bdea4,1000
2023-04-16T11:45:41Z,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,1000
2023-04-17T06:46:09Z,0xdc5422512be975cc99b6d6d62743f4a83bc19851,21.247378
2023-04-17T10:51:41Z,0xd1947a3d0955454b9b13bf6fefae1b82aa712123,102.863856
2023-04-17T18:02:22Z,0x6aabd336c0e52f0c20d9db89e0824fc3a3233480,163.384567
2023-04-17T20:34:27Z,0x87f1bf916cf34fa266e3abd4224a00004aee4aa7,103.94651
2023-04-17T20:53:54Z,0xfc4a6f7af2ea8a27be847f2d4a3fd4edc34cd19c,110
2023-04-17T21:29:18Z,0xfc4a6f7af2ea8a27be847f2d4a3fd4edc34cd19c,-104.62907
2023-04-17T22:39:24Z,0xb9d83d298d46c4dd73618f19a2a40084ce36476a,41.641472
2023-04-17T22:43:46Z,0xf290f3d843826d00f8176182fd76550535f6dbb4,512.380203
2023-04-17T22:48:50Z,0x7fae3cbe00a1045a8798727a3a4775312d21e81f,1000
2023-04-17T23:01:21Z,0xb9d83d298d46c4dd73618f19a2a40084ce36476a,-35.288592
2023-04-17T23:41:43Z,0x1fad068d5dd3f0f744f35f3684bb5ecafdb486f5,100.707873
2023-04-17T23:46:30Z,0x2775fb7e8ac8a3ab06c9bf324c5f2c568d3768df,200
2023-04-17T23:48:44Z,0xa3a15567ee4e8a483fabfda28ff309045537dd84,300
2023-04-18T02:32:35Z,0x89c95863d976998b78784a7ffe0020ce458bcfe5,512.39
2023-04-18T02:32:35Z,0xf290f3d843826d00f8176182fd76550535f6dbb4,-512.39
2023-04-18T02:33:41Z,0x89c95863d976998b78784a7ffe0020ce458bcfe5,1003.704103
2023-04-18T05:13:14Z,0xec7899618220e34be0317b9d4d75daf825d0ab4d,200
2023-04-18T12:18:07Z,0x96b2bba39c34666864902c5752eeae851393484d,20.978859
2023-04-18T12:21:43Z,0xb338c6ef3fe4cbe4439f2cbc4bbd278d30ea0722,429.930435
2023-04-18T12:39:06Z,0x43bf9b23f1c51e7fcd0a8b0a08148e847f27fa7e,219.711938
2023-04-18T12:58:45Z,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,755
2023-04-18T13:18:03Z,0xabceb0f84c830d6d7b94c6273f2ab27ca597aa25,1000
2023-04-18T13:19:36Z,0x1452a82ba0fe0214e4619a9077489dbcb0a5110c,105.44765
2023-04-18T13:40:35Z,0x113deae33236d6c1d7452ee16149ea6bdb7bc1ab,245.328999
2023-04-18T13:51:22Z,0x96b2bba39c34666864902c5752eeae851393484d,525.691649
2023-04-18T14:09:55Z,0x96b2bba39c34666864902c5752eeae851393484d,-600
2023-04-18T14:30:40Z,0x179009d7fe50128ea6379ac8089115da770750a5,500
2023-04-18T16:57:32Z,0x43bf9b23f1c51e7fcd0a8b0a08148e847f27fa7e,-214.445303
2023-04-18T17:01:24Z,0x113deae33236d6c1d7452ee16149ea6bdb7bc1ab,-230.533679
2023-04-18T17:44:16Z,0x42061acc5da4af3b779aa7a275e72ad163308490,-217.260951
2023-04-18T18:46:06Z,0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,375.5
2023-04-18T19:10:02Z,0x98e1c4e34ccded4760ef8da63bcccdf4a75b3c4b,1000
2023-04-18T19:13:23Z,0x7a375d8dd17989385a18936230c60cfd605c7006,100
2023-04-18T19:16:48Z,0x98e1c4e34ccded4760ef8da63bcccdf4a75b3c4b,-998.70057
2023-04-18T19:23:54Z,0xf97c77c4a036752854663ca597f097aa5db7534b,101
2023-04-18T19:28:06Z,0xffeb5ed2169af0af8db2278a0c7539bb5bd3630f,300
2023-04-18T19:59:12Z,0x8d7e609eabc813df14ef5ae36346de96503af0c4,316.470469
2023-04-18T20:14:35Z,0x1e5c797a569276bda2ee21750186000e01d2bb5b,42.265055
2023-04-18T21:22:47Z,0x8d7e609eabc813df14ef5ae36346de96503af0c4,414.817563
2023-04-18T21:33:10Z,0x919bea57e3d2439e8bddd7e6be3281dbd2cfc2a8,1000
2023-04-18T22:36:11Z,0xf260029a51933376dce9e60d0ab0be2c6403746b,101
2023-04-18T23:10:04Z,0x1851f57461c0b28f0dc13abbda6f942a4781235b,104
2023-04-18T23:16:46Z,0x077904eb39fdfee17679356987beb89c7b26e5b8,942
2023-04-19T00:01:10Z,0xad900d0a5c5c213c6efeadfff67019b81c2344e2,105
2023-04-19T00:18:54Z,0x80189a10db6f1c4c237054c3bcb107a24634e3eb,150
2023-04-19T00:19:36Z,0xad900d0a5c5c213c6efeadfff67019b81c2344e2,25
2023-04-19T01:06:52Z,0x523ecfed306880c058f605f95aba86bf490dbb9c,200
2023-04-19T01:25:47Z,0xbafa0e7925d275421002fff83076dd387a79e6d2,109.713474
2023-04-19T02:19:59Z,0x990f3f9d7a16bce79a02854cfccc95710f670300,100
2023-04-19T02:47:59Z,0xa43dea86853f5ed8f767e36e16fd20b36b07769d,418.040969
2023-04-19T03:09:59Z,0x5afe19a8e8b62dda50050dcad297391f8ea72999,600
2023-04-19T03:13:00Z,0x5afe19a8e8b62dda50050dcad297391f8ea72999,-595.64258
2023-04-19T03:19:43Z,0x380886e656ce40bd145a9fb85ac7e3dc51d5ee8b,100
2023-04-19T03:48:39Z,0x6140b013fd4acfe15c302b605b5de388cd8897bd,110
2023-04-19T04:10:07Z,0xd45e492ba5adf9dfe14e70a99a7a800720944e68,200
2023-04-19T04:55:06Z,0x1cdb80b2da94290e4534f9e12c16b9fb89de3285,84.233115
2023-04-19T04:56:34Z,0x1cdb80b2da94290e4534f9e12c16b9fb89de3285,14.326389
2023-04-19T05:16:18Z,0x9b4c436f40e7fbae7bad8b7547a2e8652c71b6c5,1000
2023-04-19T06:01:56Z,0xeacdd6b4b80fcb241a4cfab7f46e886f19c89340,1000
2023-04-19T06:12:20Z,0x24544d711ee5b9abb82ea6e14230f59bce9a2e56,145.903651
2023-04-19T07:13:54Z,0x629cd43eaf443e66a9a69ed246728e1001289eac,999.4
2023-04-19T08:14:03Z,0x1e5c797a569276bda2ee21750186000e01d2bb5b,216.958309
2023-04-19T08:47:40Z,0x1e5c797a569276bda2ee21750186000e01d2bb5b,216.958309
2023-04-19T09:27:21Z,0x1eb36d9f5d65de272868d2eb734ba43587f6f468,125.394211
2023-04-19T09:33:47Z,0xf97c77c4a036752854663ca597f097aa5db7534b,100.674484
2023-04-19T09:45:17Z,0x8bc964e36e3fcf9068d98e55a64a99d22c898afa,-10
2023-04-19T10:33:24Z,0x9753ca9742c6cf63606116b4faf06b22264f0e50,3002.932871
2023-04-19T10:38:31Z,0x2567d753e50159effccab3da32c960148c93e1a5,200
2023-04-19T12:37:40Z,0x6d0f4c545363cfbe4e326075a6dab556d0c66dd8,20
2023-04-19T12:40:50Z,0x6d0f4c545363cfbe4e326075a6dab556d0c66dd8,-18.74745
2023-04-19T14:25:26Z,0x550339b44e603c3cbe6b0c00cf70bbfe16c5a04a,111
2023-04-19T14:44:53Z,0x677d831aef5328190852e24f13c46cac05f984e7,2567
2023-04-19T14:51:04Z,0xb0720a40d6335df0ac90ff9e4b755217632ca78c,92.096887
2023-04-19T15:05:18Z,0x46a9a5ba32b1de75d997cfde90fb7b41bf4cad81,200
2023-04-19T16:07:55Z,0x888b6fac94ba35a538b9f9a3725aaed53133ecca,520
2023-04-19T16:50:27Z,0xdb5b134cd79fda92dea3f84a720328fb7b2167bf,120
2023-04-19T16:53:23Z,0x58d02e7b18efbbd3d00a2e7f915c3f20bec893b3,3000
2023-04-19T18:08:48Z,0xafbea85f4d132cf6cdb124decdd7a915f2a47956,25
2023-04-19T18:22:06Z,0x9a1500b41519868039b1f95c447ba50b76d837e6,2000
2023-04-19T18:23:29Z,0xafbea85f4d132cf6cdb124decdd7a915f2a47956,-24.81798
2023-04-19T19:17:00Z,0xc2fb6f0c90314ef5098d1c3d93331ae619077408,100
