time,user,coin,side,px,sz,crossed
2023-02-27T15:02:26Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,ETH,Ask,1655.5,0.0452,true
2023-02-27T15:04:12Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,ETH,Bid,1658.8,0.0452,true
2023-02-27T15:31:22Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1656,0.0452,true
2023-02-27T15:33:07Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1658.3,0.0452,true
2023-02-27T15:33:37Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1655.5,0.0745,true
2023-02-27T15:33:37Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1655.5,0.0776,true
2023-02-27T15:33:37Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1657.8,0.2809,true
2023-02-27T15:33:59Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1653.6,0.433,true
2023-02-27T15:34:04Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1652.9,0.2515,true
2023-02-27T15:34:04Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1654.4,0.0704,true
2023-02-27T15:34:04Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1654.4,0.0901,true
2023-02-27T15:35:16Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1653,0.0331,true
2023-02-27T15:35:16Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1653,0.0474,true
2023-02-27T15:35:16Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1654.4,0.3315,true
2023-02-27T15:35:42Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1653.3,0.0307,true
2023-02-27T15:35:42Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1653.3,0.0375,true
2023-02-27T15:35:42Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1654.7,0.3403,true
2023-02-27T15:36:45Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1649.4,0.297,true
2023-02-27T15:36:45Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1650.7,0.0432,true
2023-02-27T15:36:45Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1650.7,0.0683,true
2023-02-27T15:37:17Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1647.5,0.3387,true
2023-02-27T15:37:17Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1649,0.0437,true
2023-02-27T15:37:17Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Ask,1649,0.0465,true
2023-02-27T16:08:34Z,0x2417f49cba757c41627a3cf8ea03cd55867b5c8b,ETH,Bid,1645.5,0.4289,true
2023-02-27T16:11:47Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,ETH,Ask,1640.5,0.2953,true
2023-02-27T22:18:23Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,ETH,Bid,1629.2,0.2953,true
2023-02-27T22:22:46Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,MATIC,Bid,1.2323,204.4,true
2023-02-28T15:49:47Z,0x677d831aef5328190852e24f13c46cac05f984e7,ETH,Ask,1638,0.1291,true
2023-02-28T15:51:29Z,0x677d831aef5328190852e24f13c46cac05f984e7,ETH,Bid,1638.3,0.0378,true
2023-02-28T15:51:29Z,0x677d831aef5328190852e24f13c46cac05f984e7,ETH,Bid,1638.3,0.0554,true
2023-02-28T15:51:29Z,0x677d831aef5328190852e24f13c46cac05f984e7,ETH,Bid,1640,0.0359,true
2023-02-28T15:51:44Z,0x677d831aef5328190852e24f13c46cac05f984e7,ATOM,Bid,12.571,17.17,true
2023-02-28T20:23:42Z,0x677d831aef5328190852e24f13c46cac05f984e7,ATOM,Bid,12.357,5.53,true
2023-02-28T20:23:42Z,0x677d831aef5328190852e24f13c46cac05f984e7,ATOM,Bid,12.357,6.51,true
2023-02-28T21:10:23Z,0x63c621a33714ec48660e32f2374895c8026a3a00,ATOM,Bid,12.1137,29.21,true
2023-02-28T21:10:23Z,0x677d831aef5328190852e24f13c46cac05f984e7,ATOM,Ask,12.1137,29.21,false
2023-02-28T21:10:26Z,0x63c621a33714ec48660e32f2374895c8026a3a00,ATOM,Ask,12.202,29.21,true
2023-03-01T04:49:50Z,0x0811d5442a311bc591fe663534d548bf1c09d7de,BTC,Ask,23696,0.02593,false
2023-03-01T13:38:38Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,MATIC,Ask,1.2426,204.4,true
2023-03-01T13:41:02Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,ATOM,Bid,12.835,4.59,true
2023-03-01T13:41:02Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,ATOM,Bid,12.835,9.65,true
2023-03-01T13:41:02Z,0x3b6996b7aa8371b0301167eefca33efca13307d6,ATOM,Bid,12.849,7.52,true
2023-03-01T20:31:38Z,0xe3a285a05076df90c3578a73b34c4880180e6668,MATIC,Bid,1.2222,11.9,true
2023-03-01T20:43:57Z,0xe3a285a05076df90c3578a73b34c4880180e6668,MATIC,Ask,1.2274,11.9,true
2023-03-01T23:22:03Z,0x677d831aef5328190852e24f13c46cac05f984e7,ETH,Bid,1656.3,0.0132,true
2023-03-01T23:22:06Z,0x677d831aef5328190852e24f13c46cac05f984e7,ETH,Ask,1653.5,0.012,true
2023-03-01T23:22:14Z,0x677d831aef5328190852e24f13c46cac05f984e7,ETH,Ask,1653.5,0.0012,true
